step,error
0,3.96624
1,3.95417
2,3.94237
3,3.9332
4,3.92225
5,3.91134
6,3.90247
7,3.8922
8,3.88167
9,3.87134
10,3.86112
11,3.85263
12,3.84381
13,3.83408
14,3.82396
15,3.81392
16,3.80526
17,3.79522
18,3.78518
19,3.77511
20,3.76618
21,3.7574
22,3.74778
23,3.73844
24,3.72944
25,3.7214
26,3.71297
27,3.70378
28,3.6964
29,3.6882
30,3.68069
31,3.67178
32,3.66372
33,3.65653
34,3.65
35,3.6428
36,3.63421
37,3.62742
38,3.61915
39,3.61137
40,3.60328
41,3.59592
42,3.5881
43,3.58193
44,3.57574
45,3.56851
46,3.56077
47,3.55413
48,3.5474
49,3.53999
50,3.53351
51,3.52597
52,3.51972
53,3.51365
54,3.50662
55,3.50142
56,3.49484
57,3.48885
58,3.48185
59,3.47504
60,3.46818
61,3.46276
62,3.45627
63,3.45027
64,3.44445
65,3.43802
66,3.43168
67,3.4261
68,3.42132
69,3.41535
70,3.41056
71,3.40439
72,3.39939
73,3.39334
74,3.38718
75,3.3821
76,3.37684
77,3.37111
78,3.36549
79,3.35971
80,3.35423
81,3.34979
82,3.34417
83,3.33997
84,3.33511
85,3.32994
86,3.32576
87,3.32165
88,3.31614
89,3.3107
90,3.30543
91,3.30016
92,3.29598
93,3.29115
94,3.2867
95,3.28198
96,3.27759
97,3.27355
98,3.26846
99,3.26409
100,3.25926
101,3.25559
102,3.25152
103,3.24792
104,3.24318
105,3.2394
106,3.23541
107,3.23149
108,3.22784
109,3.22431
110,3.22066
111,3.2162
112,3.21258
113,3.208
114,3.20364
115,3.1996
116,3.19549
117,3.19119
118,3.18722
119,3.18325
120,3.1791
121,3.1754
122,3.17166
123,3.16744
124,3.16433
125,3.16028
126,3.15657
127,3.15302
128,3.14892
129,3.14532
130,3.14138
131,3.13753
132,3.134
133,3.1309
134,3.12714
135,3.12384
136,3.12052
137,3.11755
138,3.11403
139,3.11066
140,3.1077
141,3.10412
142,3.10101
143,3.09793
144,3.09445
145,3.09174
146,3.0882
147,3.08514
148,3.08158
149,3.07851
150,3.07497
151,3.07165
152,3.06826
153,3.06526
154,3.06208
155,3.05877
156,3.056
157,3.05327
158,3.05049
159,3.04777
160,3.04464
161,3.04203
162,3.03955
163,3.0369
164,3.03419
165,3.03104
166,3.02812
167,3.02511
168,3.02278
169,3.02023
170,3.01769
171,3.01524
172,3.01295
173,3.01018
174,3.00749
175,3.00458
176,3.00179
177,2.99926
178,2.99688
179,2.99418
180,2.99135
181,2.98904
182,2.98654
183,2.98387
184,2.98123
185,2.97902
186,2.97649
187,2.9737
188,2.97131
189,2.96862
190,2.96641
191,2.96429
192,2.96152
193,2.95928
194,2.95699
195,2.95471
196,2.95261
197,2.94993
198,2.9479
199,2.94581
200,2.94364
201,2.94143
202,2.93924
203,2.93713
204,2.93457
205,2.93209
206,2.93018
207,2.92786
208,2.92584
209,2.92379
210,2.92174
211,2.91924
212,2.91709
213,2.91479
214,2.91253
215,2.91069
216,2.90836
217,2.90649
218,2.90407
219,2.90222
220,2.89985
221,2.89802
222,2.89612
223,2.89379
224,2.89177
225,2.88966
226,2.88775
227,2.88567
228,2.8836
229,2.88166
230,2.87952
231,2.87735
232,2.87533
233,2.87365
234,2.872
235,2.86995
236,2.86779
237,2.86615
238,2.86438
239,2.86274
240,2.86092
241,2.85901
242,2.8574
243,2.85537
244,2.8537
245,2.85175
246,2.8497
247,2.84763
248,2.84563
249,2.84363
250,2.84208
251,2.84013
252,2.83807
253,2.83637
254,2.83447
255,2.83274
256,2.83075
257,2.82876
258,2.82678
259,2.82503
260,2.82342
261,2.82162
262,2.82003
263,2.81806
264,2.81624
265,2.81465
266,2.81289
267,2.81115
268,2.80954
269,2.80769
270,2.80595
271,2.8042
272,2.80266
273,2.80092
274,2.79932
275,2.7977
276,2.79619
277,2.79471
278,2.79315
279,2.79176
280,2.78991
281,2.78833
282,2.78659
283,2.78479
284,2.78309
285,2.78154
286,2.78008
287,2.77844
288,2.77697
289,2.77558
290,2.77425
291,2.77265
292,2.77096
293,2.76954
294,2.76799
295,2.76647
296,2.76492
297,2.7636
298,2.76188
299,2.76022
300,2.75854
301,2.757
302,2.75551
303,2.75418
304,2.75285
305,2.75122
306,2.7497
307,2.74824
308,2.74656
309,2.74493
310,2.74347
311,2.74182
312,2.74046
313,2.73913
314,2.73753
315,2.73589
316,2.7344
317,2.73316
318,2.7317
319,2.73011
320,2.72883
321,2.72736
322,2.72599
323,2.72484
324,2.72329
325,2.72172
326,2.72034
327,2.719
328,2.71742
329,2.71608
330,2.71483
331,2.71333
332,2.71179
333,2.71036
334,2.70881
335,2.70763
336,2.7063
337,2.70492
338,2.70356
339,2.70223
340,2.70092
341,2.6998
342,2.6985
343,2.69709
344,2.69587
345,2.69464
346,2.69325
347,2.6918
348,2.69055
349,2.68935
350,2.68795
351,2.6866
352,2.68519
353,2.68403
354,2.68269
355,2.68133
356,2.68021
357,2.67912
358,2.67805
359,2.67694
360,2.67569
361,2.67452
362,2.67309
363,2.67187
364,2.67045
365,2.66904
366,2.66778
367,2.66657
368,2.66533
369,2.66427
370,2.6629
371,2.66152
372,2.66047
373,2.65933
374,2.65806
375,2.65689
376,2.6557
377,2.65456
378,2.65345
379,2.6521
380,2.65088
381,2.64952
382,2.64831
383,2.64716
384,2.64611
385,2.64508
386,2.64405
387,2.64294
388,2.64188
389,2.64083
390,2.63969
391,2.63847
392,2.6373
393,2.63622
394,2.63524
395,2.6341
396,2.633
397,2.6318
398,2.63053
399,2.62928
400,2.62807
401,2.62685
402,2.62562
403,2.62439
404,2.6231
405,2.622
406,2.62101
407,2.61987
408,2.61867
409,2.6176
410,2.6165
411,2.61548
412,2.61442
413,2.61317
414,2.61201
415,2.61089
416,2.60996
417,2.60878
418,2.60757
419,2.60661
420,2.60538
421,2.60439
422,2.60317
423,2.60211
424,2.601
425,2.59976
426,2.59857
427,2.59738
428,2.59628
429,2.59514
430,2.59401
431,2.59303
432,2.59204
433,2.591
434,2.58979
435,2.58882
436,2.58767
437,2.58674
438,2.58558
439,2.58455
440,2.58351
441,2.58254
442,2.58144
443,2.5803
444,2.57937
445,2.57841
446,2.57744
447,2.5765
448,2.57532
449,2.57443
450,2.57341
451,2.57227
452,2.57131
453,2.57033
454,2.56942
455,2.5683
456,2.56737
457,2.5662
458,2.56512
459,2.56401
460,2.56294
461,2.56197
462,2.56112
463,2.55997
464,2.55889
465,2.55773
466,2.55681
467,2.55579
468,2.55493
469,2.55409
470,2.55297
471,2.55196
472,2.55104
473,2.55002
474,2.54909
475,2.54814
476,2.54706
477,2.54605
478,2.54503
479,2.54397
480,2.54295
481,2.54213
482,2.54113
483,2.54005
484,2.53912
485,2.53808
486,2.53706
487,2.53605
488,2.535
489,2.5341
490,2.53315
491,2.53223
492,2.53123
493,2.53028
494,2.52938
495,2.52849
496,2.52758
497,2.52661
498,2.52556
499,2.52461
500,2.52365
501,2.52262
502,2.52154
503,2.52052
504,2.51963
505,2.51877
506,2.51794
507,2.51712
508,2.5161
509,2.51511
510,2.51409
511,2.51319
512,2.5122
513,2.51131
514,2.51047
515,2.50969
516,2.50862
517,2.5076
518,2.50663
519,2.50564
520,2.50484
521,2.50379
522,2.503
523,2.50203
524,2.50114
525,2.50027
526,2.49923
527,2.49822
528,2.49722
529,2.49623
530,2.49542
531,2.49457
532,2.49365
533,2.49283
534,2.49178
535,2.4908
536,2.48993
537,2.48918
538,2.48819
539,2.4874
540,2.48641
541,2.48548
542,2.48459
543,2.48369
544,2.48269
545,2.48176
546,2.48088
547,2.47989
548,2.47902
549,2.47825
550,2.47734
551,2.47646
552,2.47569
553,2.4748
554,2.47403
555,2.47315
556,2.47218
557,2.47116
558,2.47035
559,2.46944
560,2.46848
561,2.46763
562,2.46666
563,2.46586
564,2.46496
565,2.46399
566,2.463
567,2.462
568,2.46101
569,2.46008
570,2.45932
571,2.45842
572,2.45761
573,2.45674
574,2.45597
575,2.45521
576,2.45446
577,2.45356
578,2.45259
579,2.45172
580,2.45082
581,2.44997
582,2.44901
583,2.44809
584,2.44712
585,2.44616
586,2.44539
587,2.44447
588,2.44351
589,2.44268
590,2.44188
591,2.44098
592,2.44005
593,2.43931
594,2.43837
595,2.43754
596,2.43659
597,2.43569
598,2.43487
599,2.43395
600,2.43311
601,2.43228
602,2.43144
603,2.43054
604,2.42959
605,2.42872
606,2.42781
607,2.42709
608,2.42635
609,2.42547
610,2.42466
611,2.42374
612,2.42303
613,2.42223
614,2.42141
615,2.42047
616,2.41969
617,2.41883
618,2.41796
619,2.41721
620,2.41626
621,2.41533
622,2.41443
623,2.41353
624,2.41258
625,2.41172
626,2.41099
627,2.41007
628,2.40929
629,2.40848
630,2.40762
631,2.40673
632,2.4058
633,2.4051
634,2.40429
635,2.40338
636,2.40253
637,2.4018
638,2.40089
639,2.40001
640,2.39912
641,2.39836
642,2.39754
643,2.39665
644,2.39579
645,2.39486
646,2.39399
647,2.39307
648,2.39224
649,2.39146
650,2.39076
651,2.38994
652,2.3892
653,2.38831
654,2.38755
655,2.38681
656,2.38601
657,2.38522
658,2.38452
659,2.38365
660,2.38276
661,2.3819
662,2.3811
663,2.38022
664,2.37936
665,2.37847
666,2.37763
667,2.37687
668,2.37595
669,2.37515
670,2.37446
671,2.3736
672,2.37273
673,2.37192
674,2.37112
675,2.37035
676,2.36954
677,2.36881
678,2.36805
679,2.36737
680,2.36655
681,2.36576
682,2.36493
683,2.36405
684,2.3633
685,2.36242
686,2.36175
687,2.3609
688,2.36016
689,2.35946
690,2.35867
691,2.35796
692,2.35709
693,2.3562
694,2.3553
695,2.35449
696,2.35363
697,2.35282
698,2.35194
699,2.35107
700,2.35041
701,2.34951
702,2.34871
703,2.34784
704,2.34704
705,2.34636
706,2.34561
707,2.34495
708,2.34421
709,2.34338
710,2.34267
711,2.3418
712,2.3411
713,2.34024
714,2.33941
715,2.33864
716,2.33782
717,2.33698
718,2.33626
719,2.3356
720,2.33474
721,2.33389
722,2.33319
723,2.33237
724,2.33153
725,2.33083
726,2.3301
727,2.3293
728,2.32846
729,2.32778
730,2.32703
731,2.32618
732,2.32547
733,2.32483
734,2.324
735,2.32316
736,2.3225
737,2.32183
738,2.32097
739,2.32022
740,2.31938
741,2.31871
742,2.31799
743,2.31734
744,2.31647
745,2.31584
746,2.31507
747,2.31426
748,2.31342
749,2.31258
750,2.31177
751,2.31095
752,2.31015
753,2.30932
754,2.30856
755,2.30781
756,2.30718
757,2.30635
758,2.3057
759,2.30485
760,2.3042
761,2.30344
762,2.30262
763,2.30192
764,2.30115
765,2.30038
766,2.29973
767,2.29894
768,2.29814
769,2.29752
770,2.29688
771,2.29612
772,2.29545
773,2.29473
774,2.29396
775,2.2933
776,2.29257
777,2.29191
778,2.2911
779,2.29041
780,2.28956
781,2.2888
782,2.28818
783,2.28741
784,2.28667
785,2.28592
786,2.28529
787,2.28452
788,2.28381
789,2.28318
790,2.28243
791,2.28171
792,2.28094
793,2.28024
794,2.27946
795,2.2788
796,2.27798
797,2.27719
798,2.27638
799,2.27563
800,2.27482
801,2.27401
802,2.27337
803,2.27254
804,2.27187
805,2.2711
806,2.27048
807,2.26971
808,2.26893
809,2.26812
810,2.2673
811,2.26652
812,2.2658
813,2.26498
814,2.2643
815,2.26348
816,2.26276
817,2.26207
818,2.26134
819,2.26056
820,2.25986
821,2.25902
822,2.25838
823,2.25777
824,2.25709
825,2.25629
826,2.25565
827,2.25501
828,2.25426
829,2.25344
830,2.25269
831,2.25198
832,2.25119
833,2.25042
834,2.24973
835,2.24912
836,2.24843
837,2.24773
838,2.24697
839,2.24634
840,2.24567
841,2.24494
842,2.24416
843,2.2434
844,2.24269
845,2.24207
846,2.24133
847,2.24054
848,2.23984
849,2.23923
850,2.2385
851,2.23771
852,2.23711
853,2.23635
854,2.23557
855,2.2349
856,2.23417
857,2.23336
858,2.23267
859,2.23203
860,2.23124
861,2.23063
862,2.2299
863,2.22915
864,2.22837
865,2.22758
866,2.22683
867,2.2262
868,2.22556
869,2.22489
870,2.22424
871,2.22353
872,2.22275
873,2.22215
874,2.22153
875,2.22089
876,2.22027
877,2.21952
878,2.21895
879,2.21824
880,2.21749
881,2.21676
882,2.2161
883,2.21535
884,2.2147
885,2.21411
886,2.21331
887,2.21254
888,2.21174
889,2.21107
890,2.21028
891,2.20951
892,2.20882
893,2.20813
894,2.20743
895,2.20681
896,2.20614
897,2.20553
898,2.20489
899,2.20417
900,2.20349
901,2.20279
902,2.2022
903,2.20157
904,2.20086
905,2.20024
906,2.19956
907,2.19884
908,2.19809
909,2.1974
910,2.19681
911,2.19611
912,2.19532
913,2.19466
914,2.19404
915,2.1934
916,2.19275
917,2.19214
918,2.19136
919,2.19071
920,2.19002
921,2.18925
922,2.18867
923,2.18791
924,2.18725
925,2.18655
926,2.18576
927,2.18504
928,2.18433
929,2.18369
930,2.18308
931,2.18229
932,2.18155
933,2.18094
934,2.18034
935,2.17971
936,2.17908
937,2.17838
938,2.17765
939,2.17708
940,2.17631
941,2.17556
942,2.17486
943,2.1741
944,2.1735
945,2.17279
946,2.172
947,2.17135
948,2.17062
949,2.16983
950,2.16911
951,2.1685
952,2.16775
953,2.16702
954,2.16624
955,2.16564
956,2.16503
957,2.16426
958,2.16354
959,2.16279
960,2.1622
961,2.16147
962,2.16074
963,2.15999
964,2.15923
965,2.15848
966,2.1577
967,2.1571
968,2.15647
969,2.15573
970,2.15513
971,2.15454
972,2.15384
973,2.15313
974,2.15237
975,2.15166
976,2.15104
977,2.15027
978,2.14949
979,2.14872
980,2.14797
981,2.14726
982,2.14673
983,2.14602
984,2.14538
985,2.14461
986,2.14389
987,2.14321
988,2.14246
989,2.14181
990,2.14122
991,2.14045
992,2.13987
993,2.13912
994,2.13838
995,2.13761
996,2.13691
997,2.13617
998,2.1356
999,2.13486
1000,2.13417
1001,2.13358
1002,2.13282
1003,2.13224
1004,2.13152
1005,2.13079
1006,2.13006
1007,2.12931
1008,2.12859
1009,2.12788
1010,2.12713
1011,2.12646
1012,2.12583
1013,2.12508
1014,2.1245
1015,2.12381
1016,2.12307
1017,2.12234
1018,2.12157
1019,2.12085
1020,2.12027
1021,2.11968
1022,2.11897
1023,2.11838
1024,2.11762
1025,2.11694
1026,2.11638
1027,2.11569
1028,2.11506
1029,2.1145
1030,2.11386
1031,2.11312
1032,2.11252
1033,2.11191
1034,2.11116
1035,2.11041
1036,2.10965
1037,2.10897
1038,2.10825
1039,2.10756
1040,2.10694
1041,2.10625
1042,2.10569
1043,2.10501
1044,2.10435
1045,2.10376
1046,2.10318
1047,2.10256
1048,2.10182
1049,2.10125
1050,2.10049
1051,2.09974
1052,2.09914
1053,2.09843
1054,2.09767
1055,2.09707
1056,2.09647
1057,2.09591
1058,2.0952
1059,2.09455
1060,2.09398
1061,2.09343
1062,2.0928
1063,2.0922
1064,2.09159
1065,2.091
1066,2.09043
1067,2.08983
1068,2.08911
1069,2.08838
1070,2.08766
1071,2.0871
1072,2.08645
1073,2.08572
1074,2.08504
1075,2.08432
1076,2.08357
1077,2.08288
1078,2.08232
1079,2.08161
1080,2.0809
1081,2.08034
1082,2.07965
1083,2.07891
1084,2.0782
1085,2.07751
1086,2.07695
1087,2.07621
1088,2.07553
1089,2.07482
1090,2.07418
1091,2.07348
1092,2.07276
1093,2.07207
1094,2.07133
1095,2.07058
1096,2.06986
1097,2.06911
1098,2.06852
1099,2.06784
1100,2.06713
1101,2.06638
1102,2.0657
1103,2.06512
1104,2.0644
1105,2.0638
1106,2.06307
1107,2.06237
1108,2.06164
1109,2.06089
1110,2.06024
1111,2.05957
1112,2.05902
1113,2.05845
1114,2.05779
1115,2.05709
1116,2.05638
1117,2.05572
1118,2.05504
1119,2.0544
1120,2.0538
1121,2.05325
1122,2.05267
1123,2.05193
1124,2.05124
1125,2.05069
1126,2.04995
1127,2.04929
1128,2.04875
1129,2.04818
1130,2.0476
1131,2.04689
1132,2.04633
1133,2.04563
1134,2.04489
1135,2.04417
1136,2.04343
1137,2.04271
1138,2.04204
1139,2.04133
1140,2.04062
1141,2.04007
1142,2.03944
1143,2.03872
1144,2.03815
1145,2.03743
1146,2.03676
1147,2.03604
1148,2.03542
1149,2.03483
1150,2.03422
1151,2.03357
1152,2.03297
1153,2.03233
1154,2.03168
1155,2.03096
1156,2.03031
1157,2.02968
1158,2.02906
1159,2.02842
1160,2.02776
1161,2.02711
1162,2.02651
1163,2.02584
1164,2.02523
1165,2.02465
1166,2.02401
1167,2.02341
1168,2.02287
1169,2.02232
1170,2.02177
1171,2.02106
1172,2.02051
1173,2.01989
1174,2.0192
1175,2.01861
1176,2.01802
1177,2.01742
1178,2.01686
1179,2.0162
1180,2.01555
1181,2.01493
1182,2.01437
1183,2.01368
1184,2.01297
1185,2.01232
1186,2.01165
1187,2.01104
1188,2.01031
1189,2.00976
1190,2.00906
1191,2.00841
1192,2.00776
1193,2.00721
1194,2.00664
1195,2.00594
1196,2.00535
1197,2.00469
1198,2.00414
1199,2.00355
1200,2.00289
1201,2.00232
1202,2.00177
1203,2.00109
1204,2.00045
1205,1.99975
1206,1.99906
1207,1.99836
1208,1.9978
1209,1.9971
1210,1.99649
1211,1.99582
1212,1.99522
1213,1.9946
1214,1.99399
1215,1.99343
1216,1.9927
1217,1.99198
1218,1.99136
1219,1.99063
1220,1.9901
1221,1.98951
1222,1.98888
1223,1.98822
1224,1.98763
1225,1.98698
1226,1.98635
1227,1.98572
1228,1.98516
1229,1.98451
1230,1.98383
1231,1.98315
1232,1.98248
1233,1.98178
1234,1.98117
1235,1.9806
1236,1.97993
1237,1.97936
1238,1.97864
1239,1.97795
1240,1.9774
1241,1.97681
1242,1.9762
1243,1.97559
1244,1.97491
1245,1.97423
1246,1.97359
1247,1.97292
1248,1.97225
1249,1.97154
1250,1.97087
1251,1.97019
1252,1.96964
1253,1.96908
1254,1.9685
1255,1.96789
1256,1.96721
1257,1.96654
1258,1.96583
1259,1.96513
1260,1.96456
1261,1.96389
1262,1.96324
1263,1.96254
1264,1.9619
1265,1.96119
1266,1.96065
1267,1.96009
1268,1.95953
1269,1.959
1270,1.95829
1271,1.95771
1272,1.95711
1273,1.95651
1274,1.95587
1275,1.95533
1276,1.95482
1277,1.95427
1278,1.95358
1279,1.95291
1280,1.95239
1281,1.95176
1282,1.95115
1283,1.9506
1284,1.94995
1285,1.94928
1286,1.94864
1287,1.94806
1288,1.94745
1289,1.94682
1290,1.94627
1291,1.94562
1292,1.94507
1293,1.9444
1294,1.94377
1295,1.94311
1296,1.94247
1297,1.94182
1298,1.94113
1299,1.94046
1300,1.9398
1301,1.93912
1302,1.93841
1303,1.93789
1304,1.93735
1305,1.93671
1306,1.93616
1307,1.93562
1308,1.93496
1309,1.93426
1310,1.93358
1311,1.93292
1312,1.93232
1313,1.93175
1314,1.93107
1315,1.93037
1316,1.92967
1317,1.92907
1318,1.92851
1319,1.92792
1320,1.92724
1321,1.92664
1322,1.92593
1323,1.92523
1324,1.92471
1325,1.92408
1326,1.92344
1327,1.92278
1328,1.92224
1329,1.92164
1330,1.92103
1331,1.92036
1332,1.91981
1333,1.9192
1334,1.91853
1335,1.91796
1336,1.91725
1337,1.91656
1338,1.91597
1339,1.91532
1340,1.91465
1341,1.9141
1342,1.91351
1343,1.91296
1344,1.91237
1345,1.91182
1346,1.91128
1347,1.9107
1348,1.91008
1349,1.90948
1350,1.90884
1351,1.90826
1352,1.90759
1353,1.90695
1354,1.90638
1355,1.90571
1356,1.90517
1357,1.9045
1358,1.90388
1359,1.90332
1360,1.90276
1361,1.90207
1362,1.90138
1363,1.90078
1364,1.9002
1365,1.89954
1366,1.89891
1367,1.89833
1368,1.8977
1369,1.897
1370,1.89631
1371,1.89571
1372,1.89518
1373,1.89461
1374,1.89399
1375,1.89337
1376,1.89278
1377,1.89213
1378,1.89146
1379,1.89079
1380,1.89026
1381,1.88965
1382,1.88912
1383,1.88844
1384,1.88792
1385,1.88734
1386,1.8867
1387,1.88616
1388,1.88562
1389,1.88508
1390,1.88449
1391,1.88391
1392,1.88339
1393,1.88282
1394,1.88217
1395,1.88159
1396,1.88107
1397,1.8805
1398,1.87986
1399,1.87922
1400,1.87866
1401,1.87803
1402,1.87734
1403,1.87675
1404,1.87609
1405,1.87546
1406,1.87479
1407,1.87425
1408,1.87369
1409,1.87305
